"Type","Classification","Flow_Substance","Flow_Rate_m3_day","Stabilized_Shut_In_Pressure_kPa","Source_Depth_mkb","Ground_Water_Base_mkb"
"Vent Flow","Non Serious","Gas",0,130,0,0
"Vent Flow","Serious","Gas",75,400,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,435,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",0,700,0,0
"Vent Flow","Non Serious","Gas",1,190,0,0
"Vent Flow","Non Serious","Gas",1,62,0,0
"Vent Flow","Non Serious","Gas",1,1,0,0
"Vent Flow","Non Serious","Gas",1,11,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",40,23,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",1,75,0,0
"Vent Flow","Non Serious","Gas",1,40,0,0
"Vent Flow","Non Serious","Gas",3,276,0,0
"Vent Flow","Serious","Gas",3,700,0,0
"Vent Flow","Non Serious","Gas",6,40,0,0
"Vent Flow","Serious","Gas",347,97,0,0
"Vent Flow","Non Serious","Gas",108,195,0,0
"Vent Flow","Non Serious","Gas",0,75,0,0
"Vent Flow","Serious","Gas",1656,280,440,600
"Vent Flow","Non Serious","Gas",0.25,10,0,135
"Vent Flow","Non Serious","Gas",0.13,95,663,183.02
"Vent Flow","Non Serious","Gas",0.83,1682,0,279.21
"Vent Flow","Non Serious","Gas",2.95,121,0,612.7
"Vent Flow","Non Serious","Gas",0.02,427,0,296.3
"Vent Flow","Non Serious","Gas",113,3750,0,606.5
"Vent Flow","Non Serious","Gas",0.35,0,0.1,156
"Vent Flow","Non Serious","Gas",2.1,117,258,418.4
"Vent Flow","Serious","Gas",86.85,1868,320,354.1
"Vent Flow","Serious","Gas",353.48,189,512,560.8
"Vent Flow","Non Serious","Gas",240,290,400,150
"Vent Flow","Serious","Gas",65,2900,193,161.3
"Vent Flow","Non Serious","Gas",1.73,560,320,125.57
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",10,558,0,26.6
"Vent Flow","Non Serious","Not Converted",0,5,0,0
"Vent Flow","Non Serious","Gas",2.1,303,202,229
"Vent Flow","Serious","Gas",1,152,0,0
"Vent Flow","Non Serious","Gas",0.5,214,199,180.7
"Vent Flow","Non Serious","Gas",0.19,55,0,110
"Vent Flow","Non Serious","Gas",0.34,126,966,473
"Vent Flow","Non Serious","Gas",0.09,350,0,416.61
"Vent Flow","Non Serious","Gas",0.01,29,0,350.01
"Vent Flow","Non Serious","Gas",0.11,24,339,188.9
"Vent Flow","Non Serious","Gas",2.1,531,450,298.7
"Vent Flow","Non Serious","Gas",0.1,275,0,774.6
"Vent Flow","Non Serious","Gas",1.08,18,244.6,402.31
"Vent Flow","Serious","Gas",0.04,375,188,113.8
"Vent Flow","Serious","Gas",1,43,523,327
"Vent Flow","Non Serious","Gas",207.52,255,443,270
"Vent Flow","Non Serious","Gas",0,11,0,0
"Vent Flow","Non Serious","Gas",13,68,0,0
"Gas Migration","Non Serious","Gas",0.01,130,250,0
"Vent Flow","Non Serious","Gas",0,100,0,0
"Vent Flow","Serious","Gas",41,3286,188,209.3
"Vent Flow","Non Serious","Gas",0,95,0,0
"Vent Flow","Non Serious","Gas",1,65,0,150
"Vent Flow","Non Serious","Gas",1,103,0,0
"Vent Flow","Non Serious","Gas",0,270,0,0
"Vent Flow","Serious","Hydrocarbon Liquid",1,443,0,0
"Vent Flow","Non Serious","Gas",0,50,0,0
"Vent Flow","Non Serious","Gas",0,689,0,0
"Vent Flow","Non Serious","Gas",1,15,0,0
"Vent Flow","Non Serious","Gas",19,62,0,0
"Vent Flow","Non Serious","Gas",3,220,0,0
"Vent Flow","Non Serious","Gas",0,62,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",3,757,320,54.5
"Vent Flow","Non Serious","Gas",120,54,23.6,422.7
"Vent Flow","Non Serious","Gas",0.1,603,631,352.92
"Vent Flow","Non Serious","Gas",1.63,330,0,600
"Vent Flow","Non Serious","Gas",1,157,197,195.88
"Vent Flow","Non Serious","Gas",0.58,13,357,272.1
"Vent Flow","Non Serious","Gas",182,775,132,580.01
"Vent Flow","Non Serious","Usable Water",0,603,0,0
"Vent Flow","Non Serious","Gas",7,3295,0,0
"Vent Flow","Serious","Gas",3687,345,0,0
"Vent Flow","Non Serious","Gas",0,975,0,456
"Vent Flow","Non Serious","Gas",0,2173,0,261
"Vent Flow","Non Serious","Gas",245,0,0,251
"Vent Flow","Non Serious","Gas",1,172,0,249.7
"Vent Flow","Non Serious","Gas",0,1000,0,202
"Vent Flow","Non Serious","Gas",3,1060,0,253.3
"Vent Flow","Non Serious","Gas",0,131,0,254.6
"Vent Flow","Non Serious","Gas",0,1200,0,0
"Vent Flow","Non Serious","Gas",1,89,0,254.4
"Vent Flow","Non Serious","Gas",1,1,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Serious","Gas",9999,830,0,0
"Vent Flow","Non Serious","Gas",5543,2100,0,0
"Vent Flow","Non Serious","Gas",0,414,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",111.17,107,520,300
"Vent Flow","Non Serious","Gas",0.86,63,390,71.4
"Vent Flow","Non Serious","Gas",3.14,1793,632,302.41
"Vent Flow","Non Serious","Gas",2,42,324,315
"Vent Flow","Non Serious","Gas",0.43,2777,2947.8,600
"Vent Flow","Serious","Gas",643.69,243,486.5,292.4
"Vent Flow","Non Serious","Gas",9.3,561,182,254.81
"Vent Flow","Non Serious","Gas",0.75,925,0,216.7
"Vent Flow","Serious","Gas",49,0,170,604.1
"Vent Flow","Serious","Gas",33.37,131,470,185.6
"Vent Flow","Non Serious","Gas",1,360,0,117.9
"Vent Flow","Non Serious","Gas",4,720,0,119.1
"Vent Flow","Serious","Gas",2,25,0,539
"Vent Flow","Serious","Usable Water",1,496,0,239
"Vent Flow","Non Serious","Gas",84,422,0,600
"Vent Flow","Serious","Gas",0,117,0,600
"Vent Flow","Serious","Gas",0,69,0,579
"Vent Flow","Non Serious","Gas",0,140,0,552
"Vent Flow","Serious","Gas",41,130,0,0
"Vent Flow","Serious","Gas",144,435,0,561
"Vent Flow","Serious","Gas",12,160,0,600
"Vent Flow","Serious","Gas",11,173,0,576
"Vent Flow","Serious","Gas",0,160,0,600
"Vent Flow","Non Serious","Gas",111,275,0,600
"Vent Flow","Serious","Gas",73,445,0,564
"Vent Flow","Non Serious","Gas",35,195,0,0
"Vent Flow","Serious","Gas",27,105,0,571
"Vent Flow","Serious","Gas",3,110,0,565
"Vent Flow","Serious","Gas",35,120,0,571
"Vent Flow","Serious","Gas",16,50,0,540
"Vent Flow","Serious","Gas",33,155,0,557
"Vent Flow","Non Serious","Gas",1,80,0,600
"Vent Flow","Non Serious","Gas",19,480,0,190.5
"Vent Flow","Non Serious","Gas",1,180,0,600
"Vent Flow","Serious","Usable Water",18,475,0,0
"Vent Flow","Non Serious","Gas",57,210,0,0
"Vent Flow","Non Serious","Gas",0,118,0,600
"Vent Flow","Serious","Gas",0,195,0,600
"Vent Flow","Non Serious","Gas",35,198,0,600
"Vent Flow","Serious","Gas",41,48,0,570
"Vent Flow","Non Serious","Gas",0,74,0,255
"Vent Flow","Serious","Gas",8,145,0,0
"Vent Flow","Non Serious","Usable Water",0,160,0,0
"Vent Flow","Non Serious","Gas",0,218,0,600
"Vent Flow","Non Serious","Gas",13,120,0,600
"Vent Flow","Serious","Gas",18,160,0,557
"Vent Flow","Serious","Gas",5,70,0,600
"Vent Flow","Non Serious","Gas",40,247,0,600
"Vent Flow","Non Serious","Gas",21,145,0,600
"Vent Flow","Serious","Gas",12,155,0,600
"Vent Flow","Non Serious","Gas",0,98,0,600
"Vent Flow","Non Serious","Gas",0,160,0,600
"Vent Flow","Non Serious","Gas",0,118,0,600
"Vent Flow","Serious","Gas",12,125,0,541
"Vent Flow","Non Serious","Gas",63,250,0,600
"Vent Flow","Serious","Gas",18,125,0,566
"Vent Flow","Non Serious","Gas",0,190,0,600
"Vent Flow","Serious","Gas",220,69,0,534
"Vent Flow","Serious","Gas",61,107,0,0
"Vent Flow","Serious","Gas",0,195,0,600
"Vent Flow","Non Serious","Gas",0,280,0,600
"Vent Flow","Serious","Gas",1,141,0,575
"Vent Flow","Non Serious","Gas",4,55,0,600
"Vent Flow","Serious","Gas",4,150,0,600
"Vent Flow","Serious","Gas",97,135,0,545
"Vent Flow","Non Serious","Gas",30,310,0,600
"Vent Flow","Serious","Gas",28,210,0,545
"Vent Flow","Non Serious","Gas",380.8,497,820,296.8
"Vent Flow","Non Serious","Gas",0.29,0,323,128.1
"Vent Flow","Serious","Gas",0.43,22,326,93
"Vent Flow","Non Serious","Gas",5.5,1700,175,172
"Vent Flow","Serious","Gas",0,33,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Not Converted",0,180,0,0
"Vent Flow","Serious","Usable Water",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",45,440,234,372.45
"Vent Flow","Non Serious","Gas",0,340,0,0
"Vent Flow","Non Serious","Gas",0.65,14,0,343.5
"Vent Flow","Non Serious","Gas",0.06,11,915,600
"Vent Flow","Non Serious","Gas",4.86,370,237,623
"Vent Flow","Non Serious","Gas",1.3,268,0,103.9
"Vent Flow","Non Serious","Gas",0.81,170,420,408.85
"Vent Flow","Non Serious","Gas",0.1,142,0,93.46
"Vent Flow","Non Serious","Gas",0.2,313,231,93.3
"Vent Flow","Non Serious","Gas",0.8,327,0,93.51
"Vent Flow","Non Serious","Gas",0.1,20,0,58.06
"Vent Flow","Serious","Gas",4000,3800,1036,600
"Vent Flow","Serious","Gas",41,2048,1302,300
"Vent Flow","Serious","Gas",41,2048,1302,300
"Vent Flow","Non Serious","Gas",0.57,400,161,129.01
"Vent Flow","Non Serious","Gas",110,1025,0,0
"Vent Flow","Serious","Gas",598,864,0,0
"Vent Flow","Serious","Gas",613,195,0,0
"Vent Flow","Serious","Gas",238,240,805,0
"Vent Flow","Non Serious","Gas",6,166,0,0
"Vent Flow","Serious","Gas",950,1450,0,0
"Vent Flow","Non Serious","Gas",0,64,0,0
"Vent Flow","Non Serious","Gas",0,7,0,0
"Vent Flow","Non Serious","Gas",0,75,0,0
"Vent Flow","Non Serious","Gas",6,193,0,0
"Vent Flow","Serious","Gas",1690,1850,250,0
"Vent Flow","Non Serious","Gas",1.3,7,324,492
"Vent Flow","Non Serious","Gas",8.7,90,580,585.3
"Vent Flow","Serious","Gas",331,3158,0,475.6
"Vent Flow","Non Serious","Gas",0.1,121,0,390.1
"Vent Flow","Non Serious","Gas",0.07,212,130.7,254.81
"Vent Flow","Non Serious","Gas",0.11,122,333,320.6
"Vent Flow","Serious","Gas",1.68,430,253.5,463.2
"Vent Flow","Serious","Gas",6.25,55,430,322.9
"Vent Flow","Non Serious","Gas",0.5,489,223,96
"Vent Flow","Non Serious","Gas",26.28,993,0,249
"Vent Flow/Gas Migration","Non Serious","Gas",8.5,2636,0.1,100
"Vent Flow","Non Serious","Gas",1,2,132,190.1
"Vent Flow","Serious","Gas",0,260,0,0
"Vent Flow","Non Serious","Usable Water",1,50,0,0
"Vent Flow","Non Serious","Usable Water",1,45,0,0
"Vent Flow","Non Serious","Gas",0,25,0,0
"Vent Flow/Gas Migration","Serious","Gas",0.94,0,327,94
"Vent Flow","Serious","Crude Oil",1,75,877.5,369.8
"Vent Flow","Serious","Gas",1,46,0,0
"Vent Flow","Non Serious","Gas",1,1,0,0
"Vent Flow","Non Serious","Gas",1,1,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,69,0,0
"Vent Flow","Non Serious","Gas",2,400,0,0
"Vent Flow","Serious","Gas",400,518,226,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,250,271,0
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Serious","Unusable Water",0,0,0,0
"Vent Flow","Non Serious","Gas",3.02,1067,198,191.8
"Vent Flow","Non Serious","Gas",9.03,589,543,536.7
"Vent Flow","Non Serious","Gas",0.07,148,0,94.24
"Vent Flow","Non Serious","Gas",0.03,102,0,91.07
"Vent Flow","Non Serious","Gas",0.04,70,0,110.06
"Vent Flow","Non Serious","Gas",0.01,38,0,60.65
"Vent Flow","Non Serious","Gas",0.87,233,0,112.42
"Vent Flow","Serious","Other",3.3,283,305,400.4
"Vent Flow","Serious","Gas",9.07,274,203.5,203.2
"Vent Flow","Serious","Gas",100.6,1958,374,139.48
"Vent Flow","Non Serious","Gas",11,1000,0,104
"Vent Flow/Gas Migration","Serious","Gas",6.51,96,254,405.5
"Vent Flow","Non Serious","Usable Water",0,170,0,0
"Vent Flow","Non Serious","Usable Water",0,0,0,0
"Vent Flow","Non Serious","Gas",51,275,217,200
"Vent Flow","Serious","Not Converted",1,300,335,193
"Vent Flow","Serious","Gas",383,1900,0,0
"Vent Flow","Serious","Gas",1274,415,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",6,130,250,95.98
"Vent Flow","Non Serious","Gas",0,1767,0,0
"Vent Flow","Non Serious","Gas",133,425,0,0
"Vent Flow","Non Serious","Not Converted",0,35,0,0
"Vent Flow","Non Serious","Gas",14,70,0,0
"Vent Flow","Serious","Gas",634,670,0,0
"Vent Flow","Non Serious","Gas",0,7,0,0
"Vent Flow","Non Serious","Gas",0,918,0,0
"Vent Flow","Non Serious","Gas",0,56,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,3116,0,0
"Vent Flow","Serious","Gas",1,1,0,344.65
"Vent Flow","Non Serious","Gas",0.34,35,2992,514
"Gas Migration","Non Serious","Gas",0,0,140,101.27
"Vent Flow","Serious","Gas",572.7,691,213.5,260.5
"Vent Flow","Non Serious","Gas",32,840,0,0
"Vent Flow","Non Serious","Gas",9,3001,0,0
"Vent Flow","Serious","Gas",1.21,392,375,345.5
"Vent Flow","Non Serious","Gas",4,12,0,0
"Vent Flow","Non Serious","Gas",1.7,100,245,202
"Vent Flow","Non Serious","Gas",1,1,0,0
"Vent Flow","Non Serious","Gas",1,160,0,0
"Vent Flow","Serious","Gas",600,220,450.7,504.2
"Vent Flow","Non Serious","Gas",12,655,0,0
"Vent Flow","Serious","Gas",2,10,0,0
"Vent Flow","Non Serious","Gas",27,917,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Usable Water",0,0,0,0
"Vent Flow","Non Serious","Gas",0,28,0,0
"Vent Flow","Non Serious","Gas",0.8,89,1619.5,384.7
"Vent Flow","Non Serious","Gas",0.9,32,0,210.2
"Vent Flow","Non Serious","Gas",0.02,20,0,262
"Vent Flow","Non Serious","Gas",20.4,1759,0,600
"Vent Flow","Non Serious","Gas",0.39,288,0,360.78
"Vent Flow","Non Serious","Gas",2.22,3270,0,360.1
"Vent Flow","Non Serious","Gas",0.1,326,0,378.9
"Vent Flow","Non Serious","Gas",0.5,5,0,187.78
"Vent Flow","Non Serious","Gas",1.3,427,0,72.11
"Vent Flow","Serious","Gas",1000,2068,0,576.7
"Vent Flow","Non Serious","Gas",131,2,329,302
"Vent Flow","Non Serious","Gas",1,150,222,177.6
"Vent Flow","Non Serious","Gas",0.6,105,323,204
"Vent Flow","Non Serious","Gas",2.85,149,607,453.7
"Vent Flow","Serious","Gas",2.19,86,531,288.9
"Vent Flow","Serious","Crude Oil",1,500,890,568.5
"Vent Flow","Non Serious","Gas",4,170,0,0
"Vent Flow","Non Serious","Gas",0,110,0,0
"Vent Flow","Non Serious","Gas",127,317,0,0
"Vent Flow","Non Serious","Gas",0,655,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,1,225,0
"Vent Flow","Serious","Gas",1,6000,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Serious","Gas",652,448,0,0
"Vent Flow","Serious","Unusable Water",1,559,0,0
"Vent Flow","Serious","Gas",0,248,0,0
"Vent Flow","Non Serious","Not Converted",0,50,0,0
"Vent Flow","Serious","Gas",878,538,0,0
"Vent Flow","Non Serious","Gas",1,0,0,565
"Vent Flow","Non Serious","Gas",0,29,0,0
"Vent Flow","Non Serious","Not Converted",0,28,0,0
"Vent Flow","Non Serious","Not Converted",0,21,0,0
"Vent Flow","Non Serious","Not Converted",0,85,0,0
"Vent Flow","Non Serious","Unusable Water",0,345,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",7,690,0,0
"Vent Flow","Non Serious","Gas",19.5,218,1413,398.71
"Vent Flow","Non Serious","Gas",13.8,0,193,220
"Vent Flow","Non Serious","Gas",23.3,48,220,220
"Vent Flow","Serious","Gas",4.88,6825,351,784.08
"Vent Flow","Serious","Gas",7.4,6608,114,810.44
"Vent Flow","Serious","Gas",1.7,250,504.4,213.2
"Vent Flow","Serious","Gas",122.2,1900,1,332.9
"Vent Flow","Non Serious","Gas",2.4,0,361,252.3
"Vent Flow","Non Serious","Gas",20.8,543,577,576.1
"Vent Flow","Serious","Other",2.83,423,524,600
"Vent Flow","Non Serious","Gas",1,150,0,0
"Vent Flow","Serious","Gas",6000,840,400,248
"Vent Flow","Serious","Gas",2366,364,260,394
"Vent Flow","Non Serious","Gas",1,7,225,178.2
"Vent Flow","Serious","Gas",184,1243,358,96.6
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",273,475,0,0
"Vent Flow","Non Serious","Gas",0,85,0,0
"Vent Flow","Non Serious","Gas",147,2895,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",1,101,556,192.6
"Vent Flow","Non Serious","Gas",42.05,999,807,202.99
"Vent Flow","Non Serious","Gas",0.16,225,852,489.55
"Vent Flow","Non Serious","Gas",0.5,12,829.7,220.3
"Vent Flow","Non Serious","Gas",2.84,34,120.5,248.62
"Vent Flow","Non Serious","Gas",2.24,1249,593,219.4
"Vent Flow","Non Serious","Gas",5.97,343,351,208.2
"Vent Flow","Non Serious","Gas",12.8,641,0,218
"Vent Flow","Non Serious","Gas",0.21,11,0,346.3
"Vent Flow","Non Serious","Gas",2.72,3236,0,353.01
"Vent Flow","Non Serious","Gas",1.55,1266,0,350.51
"Vent Flow","Non Serious","Gas",2.1,5,0,342.4
"Vent Flow","Non Serious","Gas",0.13,475,0,317.56
"Vent Flow","Non Serious","Gas",2,35,312,303.5
"Vent Flow","Non Serious","Gas",0.3,142,0,315.1
"Vent Flow","Non Serious","Gas",0.5,953,0,354.9
"Vent Flow","Non Serious","Gas",1.4,228,0,288.3
"Vent Flow","Serious","Gas",1000,6700,24,700
"Vent Flow","Serious","Gas",70.84,622,286,285.6
"Vent Flow","Non Serious","Gas",1.3,192,586,118
"Vent Flow","Serious","Gas",0.9,234,285,204
"Vent Flow","Non Serious","Gas",14.7,85,179,254
"Vent Flow/Gas Migration","Serious","Gas",0.4,120,450,117.26
"Vent Flow","Non Serious","Gas",4,14,0,0
"Vent Flow","Non Serious","Gas",0,20,0,0
"Vent Flow","Non Serious","Usable Water",5,83,0,0
"Vent Flow","Non Serious","Gas",213,425,360,0
"Vent Flow","Non Serious","Gas",0,0,602,0
"Vent Flow","Non Serious","Gas",0,138,0,0
"Vent Flow","Serious","Gas",0.24,24,135.3,197.8
"Vent Flow","Non Serious","Gas",83,807,455,577
"Vent Flow","Non Serious","Gas",1,1,743,168.74
"Vent Flow","Non Serious","Gas",3.73,26,0,64.9
"Vent Flow","Non Serious","Gas",1.2,296,0,367.13
"Vent Flow","Serious","Gas",13.59,5788,0,600
"Vent Flow","Non Serious","Gas",77,57,1052,560
"Vent Flow","Non Serious","Gas",37.2,628,205,205.8
"Vent Flow","Non Serious","Gas",0.1,1375,0,114.2
"Vent Flow","Non Serious","Gas",7,105,305,304.7
"Vent Flow","Non Serious","Gas",0.5,1,0,142.04
"Vent Flow","Non Serious","Gas",0.3,177,0,120.9
"Vent Flow","Non Serious","Gas",0.05,490,360,289.8
"Vent Flow","Non Serious","Gas",8.12,1000,0,77.05
"Vent Flow","Non Serious","Gas",14.41,394,0,260.5
"Vent Flow","Serious","Gas",14.11,666,4.9,528.5
"Vent Flow","Non Serious","Gas",3.42,204,399,216.1
"Vent Flow","Non Serious","Gas",0.29,75,144,108.9
"Vent Flow","Serious","Gas",500,3000,30.5,675.9
"Vent Flow","Serious","Gas",243,758,0,0
"Vent Flow","Non Serious","Gas",0.24,75,0,511.4
"Vent Flow","Serious","Gas",778,300,0,0
"Vent Flow","Non Serious","Gas",135,365,0,0
"Vent Flow","Non Serious","Gas",0,725,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",5,1300,0,0
"Vent Flow","Non Serious","Gas",0,462,0,0
"Vent Flow","Non Serious","Gas",0,345,0,0
"Vent Flow","Non Serious","Gas",0,75,0,0
"Vent Flow","Non Serious","Gas",0.22,0,0,99.7
"Vent Flow","Non Serious","Gas",1.15,245,200,239.61
"Vent Flow","Non Serious","Gas",5.87,386,392,83
"Vent Flow","Non Serious","Gas",3.51,62,436,301.7
"Vent Flow","Non Serious","Gas",0.04,55,401,73.1
"Vent Flow","Non Serious","Gas",0.06,254,459,310.8
"Vent Flow","Non Serious","Gas",0.09,142,566.7,178.8
"Vent Flow","Non Serious","Gas",0.11,219,289,214.7
"Vent Flow","Non Serious","Gas",1,75,0,204.5
"Vent Flow","Serious","Crude Oil",0.35,19,697,534.3
"Vent Flow","Non Serious","Gas",0.82,520,320,173.8
"Vent Flow","Non Serious","Gas",0.65,727,214,47.5
"Vent Flow","Non Serious","Gas",0.22,12,0,273.99
"Vent Flow","Non Serious","Gas",4,718,0,128.74
"Vent Flow","Serious","Other",0.14,71,150,131.23
"Vent Flow","Serious","Gas",700,3800,775,869.69
"Vent Flow","Non Serious","Gas",1,225,289,199.46
"Vent Flow","Non Serious","Gas",6,7,0,0
"Vent Flow","Non Serious","Gas",1,58,0,0
"Vent Flow","Non Serious","Gas",1,421,0,0
"Vent Flow","Serious","Gas",230,515,0,0
"Vent Flow","Non Serious","Gas",0,600,0,0
"Vent Flow","Non Serious","Gas",0,20,0,0
"Vent Flow","Non Serious","Gas",0,20,0,0
"Vent Flow","Non Serious","Gas",0,600,0,0
"Vent Flow","Non Serious","Gas",0,11,0,0
"Vent Flow","Non Serious","Gas",8,138,0,0
"Vent Flow","Non Serious","Gas",0,7,0,0
"Vent Flow","Non Serious","Gas",0,20,0,0
"Vent Flow","Non Serious","Gas",0,7,0,0
"Vent Flow","Non Serious","Gas",1,70,0,0
"Vent Flow","Non Serious","Gas",83,450,0,0
"Vent Flow","Non Serious","Gas",0,896,0,0
"Vent Flow","Non Serious","Gas",0,369,0,0
"Vent Flow","Non Serious","Gas",8,827,0,0
"Vent Flow","Non Serious","Gas",0,165,0,0
"Vent Flow","Non Serious","Gas",4,70,0,0
"Vent Flow","Non Serious","Gas",0,69,0,0
"Vent Flow","Non Serious","Gas",0,186,0,0
"Vent Flow","Non Serious","Gas",0,758,0,0
"Vent Flow","Non Serious","Gas",0,275,0,0
"Vent Flow","Non Serious","Gas",13,1206,0,0
"Vent Flow","Non Serious","Gas",1,95,0,0
"Vent Flow","Non Serious","Not Converted",1,758,0,0
"Vent Flow","Non Serious","Gas",0,1069,0,0
"Vent Flow","Serious","Gas",0,3661,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,469,0,0
"Vent Flow","Non Serious","Gas",40,200,0,0
"Vent Flow","Non Serious","Gas",1.01,71,0,136.7
"Vent Flow","Non Serious","Gas",42.9,152,433,441
